subject,tone,priority,email_body
Order Status Update,casual,low,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Shipping Request,formal,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Invoice Request,formal,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Job Application Follow-up,casual,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Customer Feedback,professional,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Account Issue,professional,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Customer Feedback,formal,high,I am considering canceling my subscription. Can you provide information on the cancellation process?
Technical Support Request,formal,medium,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Customer Feedback,urgent,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Job Application Follow-up,urgent,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Service Cancellation Request,professional,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Customer Feedback,urgent,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Job Application Follow-up,formal,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Order Status Update,urgent,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Order Status Update,casual,medium,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Job Application Follow-up,urgent,medium,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Account Issue,professional,low,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Customer Feedback,professional,medium,I'm having issues with my login credentials. Could you assist me with resetting my password?
Invoice Request,friendly,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Customer Feedback,professional,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Account Issue,professional,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Service Cancellation Request,formal,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Product Inquiry,formal,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Shipping Request,friendly,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Customer Feedback,casual,high,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Job Application Follow-up,casual,medium,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Account Issue,formal,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Technical Support Request,formal,low,I'm having issues with my login credentials. Could you assist me with resetting my password?
Customer Feedback,formal,high,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Account Issue,casual,high,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Product Inquiry,urgent,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Account Issue,professional,high,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Invoice Request,urgent,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Service Cancellation Request,friendly,high,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Invoice Request,urgent,medium,I am considering canceling my subscription. Can you provide information on the cancellation process?
Product Inquiry,friendly,high,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Product Inquiry,friendly,medium,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Job Application Follow-up,friendly,medium,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Order Status Update,professional,medium,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Invoice Request,professional,low,I am considering canceling my subscription. Can you provide information on the cancellation process?
Account Issue,professional,low,I hope this email finds you well. I am writing to follow up on my application for the software engineer position.
Service Cancellation Request,professional,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Job Application Follow-up,professional,low,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Account Issue,professional,medium,I'm having issues with my login credentials. Could you assist me with resetting my password?
Service Cancellation Request,casual,medium,I am facing difficulties accessing my account. Could you look into this issue for me?
Service Cancellation Request,formal,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Order Status Update,professional,low,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Service Cancellation Request,formal,medium,I wanted to confirm the shipping details for my order. Could you let me know when it will arrive?
Shipping Request,casual,low,"Hello, I would like to know more about your product. Can you provide detailed specifications?"
Meeting Rescheduling,professional,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Product Inquiry,friendly,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Technical Support Request,casual,medium,Thank you for the great service you provide. I wanted to share my feedback on my recent experience.
Meeting Rescheduling,casual,medium,I'm having issues with my login credentials. Could you assist me with resetting my password?
Invoice Request,urgent,low,I am facing difficulties accessing my account. Could you look into this issue for me?
Technical Support Request,formal,high,I would like to request an invoice for my recent purchase. Can you provide the necessary details?
Service Cancellation Request,friendly,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
Product Inquiry,friendly,medium,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Customer Feedback,professional,low,I need to reschedule the meeting we planned for next week. Please let me know your availability.
Service Cancellation Request,formal,high,Could you please update me on the status of my order? I placed it last week and am awaiting shipment.
